school,school_setting,school_type,classroom,teaching_method,n_student,gender,lunch,pretest,posttest
ANKYI,Urban,Non-public,ZNS,Standard,1,Female,Does not qualify,61.0,71.0
ANKYI,Urban,Non-public,ZNS,Standard,1,Female,Does not qualify,61.0,66.0
ANKYI,Urban,Non-public,ZNS,Standard,1,Female,Does not qualify,59.0,69.0
ANKYI,Urban,Non-public,ZNS,Standard,1,Female,Does not qualify,62.0,72.0
ANKYI,Urban,Non-public,ZNS,Standard,1,Male,Does not qualify,60.0,66.0
CCAAW,Suburban,Non-public,2B1,Experimental,0,Female,Does not qualify,61.0,75.0
CCAAW,Suburban,Non-public,2B1,Experimental,0,Male,Qualifies for reduced/free lunch,58.0,78.0
CCAAW,Suburban,Non-public,2B1,Experimental,0,Female,Qualifies for reduced/free lunch,64.0,82.0
CCAAW,Suburban,Non-public,2B1,Experimental,0,Male,Qualifies for reduced/free lunch,58.0,77.0
CCAAW,Suburban,Non-public,2B1,Experimental,0,Male,Does not qualify,65.0,87.0
CCAAW,Suburban,Non-public,2B1,Experimental,0,Male,Does not qualify,65.0,80.0
CCAAW,Suburban,Non-public,2B1,Experimental,0,Female,Qualifies for reduced/free lunch,62.0,75.0
CCAAW,Suburban,Non-public,2B1,Experimental,0,Male,Qualifies for reduced/free lunch,58.0,73.0
CCAAW,Suburban,Non-public,2B1,Experimental,0,Male,Qualifies for reduced/free lunch,59.0,74.0
CCAAW,Suburban,Non-public,2B1,Experimental,0,Male,Qualifies for reduced/free lunch,59.0,74.0
CCAAW,Suburban,Non-public,2B1,Experimental,0,Male,Qualifies for reduced/free lunch,63.0,76.0
CCAAW,Suburban,Non-public,2B1,Experimental,0,Female,Does not qualify,63.0,78.0
CCAAW,Suburban,Non-public,2B1,Experimental,0,Male,Does not qualify,59.0,77.0
CCAAW,Suburban,Non-public,2B1,Experimental,0,Male,Qualifies for reduced/free lunch,61.0,77.0
CCAAW,Suburban,Non-public,2B1,Experimental,0,Male,Qualifies for reduced/free lunch,55.0,72.0
CCAAW,Suburban,Non-public,2B1,Experimental,0,Male,Does not qualify,66.0,83.0
CCAAW,Suburban,Non-public,2B1,Experimental,0,Female,Does not qualify,67.0,81.0
CCAAW,Suburban,Non-public,2B1,Experimental,0,Female,Does not qualify,68.0,79.0
CCAAW,Suburban,Non-public,EPS,Experimental,1,Female,Does not qualify,63.0,80.0
CCAAW,Suburban,Non-public,EPS,Experimental,1,Female,Qualifies for reduced/free lunch,63.0,83.0
CCAAW,Suburban,Non-public,EPS,Experimental,1,Male,Does not qualify,66.0,82.0
CCAAW,Suburban,Non-public,EPS,Experimental,1,Female,Does not qualify,67.0,84.0
CCAAW,Suburban,Non-public,EPS,Experimental,1,Female,Qualifies for reduced/free lunch,67.0,83.0
CCAAW,Suburban,Non-public,EPS,Experimental,1,Male,Does not qualify,73.0,85.0
CCAAW,Suburban,Non-public,EPS,Experimental,1,Male,Does not qualify,68.0,87.0
CCAAW,Suburban,Non-public,EPS,Experimental,1,Female,Qualifies for reduced/free lunch,70.0,91.0
CCAAW,Suburban,Non-public,EPS,Experimental,1,Female,Qualifies for reduced/free lunch,74.0,85.0
CCAAW,Suburban,Non-public,EPS,Experimental,1,Female,Does not qualify,64.0,83.0
CCAAW,Suburban,Non-public,EPS,Experimental,1,Male,Qualifies for reduced/free lunch,62.0,78.0
CCAAW,Suburban,Non-public,EPS,Experimental,1,Female,Does not qualify,76.0,84.0
CCAAW,Suburban,Non-public,EPS,Experimental,1,Female,Does not qualify,73.0,86.0
CCAAW,Suburban,Non-public,EPS,Experimental,1,Male,Does not qualify,65.0,87.0
CCAAW,Suburban,Non-public,EPS,Experimental,1,Female,Does not qualify,66.0,79.0
CCAAW,Suburban,Non-public,EPS,Experimental,1,Female,Does not qualify,66.0,84.0
CCAAW,Suburban,Non-public,EPS,Experimental,1,Female,Does not qualify,66.0,82.0
CCAAW,Suburban,Non-public,EPS,Experimental,1,Female,Qualifies for reduced/free lunch,65.0,83.0
CCAAW,Suburban,Non-public,EPS,Experimental,1,Female,Qualifies for reduced/free lunch,63.0,78.0
CCAAW,Suburban,Non-public,EPS,Experimental,1,Female,Qualifies for reduced/free lunch,68.0,84.0
CCAAW,Suburban,Non-public,IQN,Experimental,0,Female,Does not qualify,65.0,79.0
CCAAW,Suburban,Non-public,IQN,Experimental,0,Female,Does not qualify,70.0,83.0
CCAAW,Suburban,Non-public,IQN,Experimental,0,Female,Qualifies for reduced/free lunch,65.0,81.0
CCAAW,Suburban,Non-public,IQN,Experimental,0,Female,Qualifies for reduced/free lunch,61.0,74.0
CCAAW,Suburban,Non-public,IQN,Experimental,0,Male,Qualifies for reduced/free lunch,63.0,77.0
CCAAW,Suburban,Non-public,IQN,Experimental,0,Female,Does not qualify,62.0,82.0
CCAAW,Suburban,Non-public,IQN,Experimental,0,Male,Does not qualify,69.0,81.0
CCAAW,Suburban,Non-public,IQN,Experimental,0,Male,Qualifies for reduced/free lunch,63.0,75.0
CCAAW,Suburban,Non-public,IQN,Experimental,0,Male,Qualifies for reduced/free lunch,62.0,81.0
CCAAW,Suburban,Non-public,IQN,Experimental,0,Female,Qualifies for reduced/free lunch,63.0,77.0
CCAAW,Suburban,Non-public,IQN,Experimental,0,Male,Qualifies for reduced/free lunch,59.0,74.0
CCAAW,Suburban,Non-public,IQN,Experimental,0,Male,Does not qualify,63.0,80.0
CCAAW,Suburban,Non-public,IQN,Experimental,0,Male,Does not qualify,66.0,76.0
CCAAW,Suburban,Non-public,IQN,Experimental,0,Female,Does not qualify,59.0,77.0
CCAAW,Suburban,Non-public,IQN,Experimental,0,Male,Qualifies for reduced/free lunch,60.0,74.0
CCAAW,Suburban,Non-public,PGK,Standard,1,Female,Qualifies for reduced/free lunch,68.0,76.0
CCAAW,Suburban,Non-public,PGK,Standard,1,Male,Qualifies for reduced/free lunch,74.0,82.0
CCAAW,Suburban,Non-public,PGK,Standard,1,Female,Qualifies for reduced/free lunch,63.0,73.0
CCAAW,Suburban,Non-public,PGK,Standard,1,Female,Qualifies for reduced/free lunch,73.0,78.0
CCAAW,Suburban,Non-public,PGK,Standard,1,Male,Does not qualify,75.0,83.0
CCAAW,Suburban,Non-public,PGK,Standard,1,Female,Does not qualify,78.0,84.0
CCAAW,Suburban,Non-public,PGK,Standard,1,Female,Qualifies for reduced/free lunch,69.0,78.0
CCAAW,Suburban,Non-public,PGK,Standard,1,Male,Qualifies for reduced/free lunch,73.0,81.0
CCAAW,Suburban,Non-public,PGK,Standard,1,Male,Qualifies for reduced/free lunch,74.0,80.0
CCAAW,Suburban,Non-public,PGK,Standard,1,Female,Does not qualify,73.0,80.0
CCAAW,Suburban,Non-public,PGK,Standard,1,Female,Qualifies for reduced/free lunch,68.0,82.0
CCAAW,Suburban,Non-public,PGK,Standard,1,Female,Does not qualify,72.0,84.0
CCAAW,Suburban,Non-public,PGK,Standard,1,Female,Does not qualify,73.0,80.0
CCAAW,Suburban,Non-public,PGK,Standard,1,Male,Does not qualify,71.0,91.0
CCAAW,Suburban,Non-public,PGK,Standard,1,Male,Does not qualify,73.0,80.0
CCAAW,Suburban,Non-public,PGK,Standard,1,Female,Does not qualify,76.0,80.0
CCAAW,Suburban,Non-public,PGK,Standard,1,Female,Does not qualify,70.0,84.0
CCAAW,Suburban,Non-public,PGK,Standard,1,Female,Does not qualify,71.0,78.0
CCAAW,Suburban,Non-public,PGK,Standard,1,Male,Does not qualify,76.0,85.0
CCAAW,Suburban,Non-public,PGK,Standard,1,Female,Does not qualify,72.0,83.0
CCAAW,Suburban,Non-public,PGK,Standard,1,Male,Does not qualify,71.0,83.0
CCAAW,Suburban,Non-public,UHU,Experimental,0,Female,Qualifies for reduced/free lunch,49.0,68.0
CCAAW,Suburban,Non-public,UHU,Experimental,0,Female,Does not qualify,55.0,70.0
CCAAW,Suburban,Non-public,UHU,Experimental,0,Female,Qualifies for reduced/free lunch,60.0,73.0
CCAAW,Suburban,Non-public,UHU,Experimental,0,Female,Qualifies for reduced/free lunch,59.0,73.0
CCAAW,Suburban,Non-public,UHU,Experimental,0,Male,Does not qualify,59.0,70.0
CCAAW,Suburban,Non-public,UHU,Experimental,0,Female,Qualifies for reduced/free lunch,55.0,69.0
CCAAW,Suburban,Non-public,UHU,Experimental,0,Male,Does not qualify,55.0,71.0
CCAAW,Suburban,Non-public,UHU,Experimental,0,Female,Does not qualify,56.0,74.0
CCAAW,Suburban,Non-public,UHU,Experimental,0,Female,Qualifies for reduced/free lunch,53.0,69.0
CCAAW,Suburban,Non-public,UHU,Experimental,0,Female,Qualifies for reduced/free lunch,48.0,70.0
CCAAW,Suburban,Non-public,UHU,Experimental,0,Female,Does not qualify,62.0,76.0
CCAAW,Suburban,Non-public,UHU,Experimental,0,Male,Does not qualify,58.0,75.0
CCAAW,Suburban,Non-public,UHU,Experimental,0,Female,Qualifies for reduced/free lunch,52.0,69.0
CCAAW,Suburban,Non-public,UHU,Experimental,0,Female,Does not qualify,59.0,67.0
CCAAW,Suburban,Non-public,UHU,Experimental,0,Female,Qualifies for reduced/free lunch,53.0,69.0
CCAAW,Suburban,Non-public,UHU,Experimental,0,Female,Does not qualify,57.0,72.0
CCAAW,Suburban,Non-public,UWK,Standard,0,Male,Does not qualify,68.0,76.0
CCAAW,Suburban,Non-public,UWK,Standard,0,Male,Does not qualify,67.0,80.0
CCAAW,Suburban,Non-public,UWK,Standard,0,Female,Qualifies for reduced/free lunch,67.0,76.0
CCAAW,Suburban,Non-public,UWK,Standard,0,Female,Does not qualify,66.0,82.0
CCAAW,Suburban,Non-public,UWK,Standard,0,Female,Does not qualify,58.0,72.0
CCAAW,Suburban,Non-public,UWK,Standard,0,Female,Does not qualify,61.0,70.0
CCAAW,Suburban,Non-public,UWK,Standard,0,Male,Does not qualify,63.0,75.0
CCAAW,Suburban,Non-public,UWK,Standard,0,Female,Does not qualify,68.0,77.0
CCAAW,Suburban,Non-public,UWK,Standard,0,Female,Qualifies for reduced/free lunch,61.0,76.0
CCAAW,Suburban,Non-public,UWK,Standard,0,Female,Does not qualify,75.0,83.0
CCAAW,Suburban,Non-public,UWK,Standard,0,Female,Qualifies for reduced/free lunch,68.0,75.0
CCAAW,Suburban,Non-public,UWK,Standard,0,Female,Qualifies for reduced/free lunch,65.0,72.0
CCAAW,Suburban,Non-public,UWK,Standard,0,Female,Qualifies for reduced/free lunch,65.0,77.0
CCAAW,Suburban,Non-public,UWK,Standard,0,Female,Qualifies for reduced/free lunch,61.0,77.0
CCAAW,Suburban,Non-public,UWK,Standard,0,Female,Qualifies for reduced/free lunch,62.0,69.0
CCAAW,Suburban,Non-public,UWK,Standard,0,Male,Qualifies for reduced/free lunch,65.0,74.0
CCAAW,Suburban,Non-public,UWK,Standard,0,Female,Qualifies for reduced/free lunch,70.0,79.0
CCAAW,Suburban,Non-public,UWK,Standard,0,Female,Qualifies for reduced/free lunch,65.0,74.0
CCAAW,Suburban,Non-public,UWK,Standard,0,Female,Qualifies for reduced/free lunch,60.0,73.0
CIMBB,Urban,Non-public,A33,Standard,0,Male,Does not qualify,60.0,67.0
CIMBB,Urban,Non-public,A33,Standard,0,Male,Does not qualify,62.0,70.0
CIMBB,Urban,Non-public,A33,Standard,0,Male,Does not qualify,59.0,73.0
CIMBB,Urban,Non-public,A33,Standard,0,Male,Does not qualify,62.0,72.0
CIMBB,Urban,Non-public,A33,Standard,0,Male,Does not qualify,54.0,68.0
CIMBB,Urban,Non-public,A33,Standard,0,Female,Does not qualify,58.0,66.0
CIMBB,Urban,Non-public,A33,Standard,0,Male,Does not qualify,58.0,66.0
CIMBB,Urban,Non-public,A33,Standard,0,Male,Does not qualify,60.0,69.0
CIMBB,Urban,Non-public,A33,Standard,0,Male,Does not qualify,68.0,78.0
CIMBB,Urban,Non-public,A33,Standard,0,Female,Does not qualify,55.0,69.0
CIMBB,Urban,Non-public,A33,Standard,0,Female,Does not qualify,61.0,71.0
CIMBB,Urban,Non-public,A33,Standard,0,Female,Does not qualify,61.0,71.0
CIMBB,Urban,Non-public,A33,Standard,0,Male,Does not qualify,61.0,70.0
CIMBB,Urban,Non-public,A33,Standard,0,Male,Does not qualify,64.0,81.0
CIMBB,Urban,Non-public,A33,Standard,0,Female,Does not qualify,61.0,72.0
CIMBB,Urban,Non-public,A33,Standard,0,Female,Qualifies for reduced/free lunch,54.0,69.0
CIMBB,Urban,Non-public,A33,Standard,0,Female,Does not qualify,56.0,65.0
CIMBB,Urban,Non-public,A33,Standard,0,Female,Does not qualify,55.0,64.0
CIMBB,Urban,Non-public,A33,Standard,0,Female,Does not qualify,65.0,71.0
CIMBB,Urban,Non-public,EID,Standard,1,Male,Does not qualify,64.0,76.0
CIMBB,Urban,Non-public,EID,Standard,1,Male,Does not qualify,72.0,79.0
CIMBB,Urban,Non-public,EID,Standard,1,Female,Does not qualify,72.0,78.0
CIMBB,Urban,Non-public,EID,Standard,1,Male,Does not qualify,67.0,72.0
CIMBB,Urban,Non-public,EID,Standard,1,Male,Does not qualify,64.0,74.0
CIMBB,Urban,Non-public,EID,Standard,1,Female,Does not qualify,69.0,79.0
CIMBB,Urban,Non-public,EID,Standard,1,Male,Does not qualify,67.0,78.0
CIMBB,Urban,Non-public,EID,Standard,1,Male,Does not qualify,70.0,76.0
CIMBB,Urban,Non-public,EID,Standard,1,Male,Does not qualify,64.0,77.0
CIMBB,Urban,Non-public,EID,Standard,1,Female,Does not qualify,64.0,75.0
CIMBB,Urban,Non-public,EID,Standard,1,Male,Does not qualify,69.0,78.0
CIMBB,Urban,Non-public,EID,Standard,1,Female,Does not qualify,70.0,82.0
CIMBB,Urban,Non-public,EID,Standard,1,Male,Does not qualify,71.0,78.0
CIMBB,Urban,Non-public,EID,Standard,1,Female,Does not qualify,67.0,80.0
CIMBB,Urban,Non-public,EID,Standard,1,Female,Does not qualify,69.0,79.0
CIMBB,Urban,Non-public,EID,Standard,1,Male,Does not qualify,69.0,80.0
CIMBB,Urban,Non-public,EID,Standard,1,Male,Does not qualify,66.0,81.0
CIMBB,Urban,Non-public,EID,Standard,1,Female,Does not qualify,64.0,78.0
CIMBB,Urban,Non-public,EID,Standard,1,Female,Does not qualify,69.0,82.0
CIMBB,Urban,Non-public,EID,Standard,1,Female,Does not qualify,67.0,82.0
CIMBB,Urban,Non-public,EID,Standard,1,Female,Does not qualify,65.0,76.0
CIMBB,Urban,Non-public,HUJ,Experimental,0,Male,Does not qualify,64.0,88.0
CIMBB,Urban,Non-public,HUJ,Experimental,0,Male,Does not qualify,64.0,80.0
CIMBB,Urban,Non-public,HUJ,Experimental,0,Male,Does not qualify,73.0,81.0
CIMBB,Urban,Non-public,HUJ,Experimental,0,Female,Does not qualify,66.0,83.0
CIMBB,Urban,Non-public,HUJ,Experimental,0,Male,Does not qualify,56.0,78.0
CIMBB,Urban,Non-public,HUJ,Experimental,0,Male,Does not qualify,67.0,87.0
CIMBB,Urban,Non-public,HUJ,Experimental,0,Female,Does not qualify,62.0,82.0
CIMBB,Urban,Non-public,HUJ,Experimental,0,Female,Does not qualify,68.0,82.0
CIMBB,Urban,Non-public,HUJ,Experimental,0,Female,Does not qualify,69.0,84.0
CIMBB,Urban,Non-public,HUJ,Experimental,0,Female,Does not qualify,68.0,85.0
CIMBB,Urban,Non-public,HUJ,Experimental,0,Male,Does not qualify,63.0,82.0
CIMBB,Urban,Non-public,HUJ,Experimental,0,Female,Does not qualify,72.0,83.0
CIMBB,Urban,Non-public,HUJ,Experimental,0,Male,Does not qualify,70.0,82.0
CIMBB,Urban,Non-public,HUJ,Experimental,0,Male,Does not qualify,68.0,87.0
CIMBB,Urban,Non-public,HUJ,Experimental,0,Female,Does not qualify,64.0,85.0
CIMBB,Urban,Non-public,HUJ,Experimental,0,Male,Does not qualify,64.0,78.0
CIMBB,Urban,Non-public,HUJ,Experimental,0,Male,Does not qualify,61.0,77.0
CIMBB,Urban,Non-public,PC6,Standard,0,Male,Does not qualify,70.0,78.0
CIMBB,Urban,Non-public,PC6,Standard,0,Female,Does not qualify,65.0,79.0
CIMBB,Urban,Non-public,PC6,Standard,0,Female,Does not qualify,63.0,72.0
CIMBB,Urban,Non-public,PC6,Standard,0,Female,Does not qualify,68.0,80.0
CIMBB,Urban,Non-public,PC6,Standard,0,Female,Does not qualify,66.0,75.0
CIMBB,Urban,Non-public,PC6,Standard,0,Female,Does not qualify,64.0,75.0
CIMBB,Urban,Non-public,PC6,Standard,0,Female,Does not qualify,68.0,77.0
CIMBB,Urban,Non-public,PC6,Standard,0,Female,Does not qualify,67.0,79.0
CIMBB,Urban,Non-public,PC6,Standard,0,Male,Does not qualify,66.0,75.0
CIMBB,Urban,Non-public,PC6,Standard,0,Male,Does not qualify,68.0,80.0
CIMBB,Urban,Non-public,PC6,Standard,0,Female,Does not qualify,72.0,86.0
CIMBB,Urban,Non-public,PC6,Standard,0,Female,Does not qualify,69.0,76.0
CIMBB,Urban,Non-public,PC6,Standard,0,Male,Does not qualify,68.0,78.0
CIMBB,Urban,Non-public,PC6,Standard,0,Female,Does not qualify,62.0,75.0
CIMBB,Urban,Non-public,PC6,Standard,0,Female,Does not qualify,71.0,80.0
CIMBB,Urban,Non-public,PC6,Standard,0,Male,Does not qualify,72.0,79.0
CIMBB,Urban,Non-public,PC6,Standard,0,Male,Does not qualify,64.0,74.0
CUQAM,Urban,Public,1Q1,Standard,2,Female,Does not qualify,55.0,70.0
CUQAM,Urban,Public,1Q1,Standard,2,Male,Qualifies for reduced/free lunch,55.0,67.0
CUQAM,Urban,Public,1Q1,Standard,2,Male,Does not qualify,58.0,70.0
CUQAM,Urban,Public,1Q1,Standard,2,Female,Does not qualify,60.0,67.0
CUQAM,Urban,Public,1Q1,Standard,2,Female,Does not qualify,58.0,69.0
CUQAM,Urban,Public,1Q1,Standard,2,Female,Does not qualify,52.0,63.0
CUQAM,Urban,Public,1Q1,Standard,2,Male,Does not qualify,53.0,67.0
CUQAM,Urban,Public,1Q1,Standard,2,Male,Does not qualify,53.0,68.0
CUQAM,Urban,Public,1Q1,Standard,2,Male,Does not qualify,54.0,68.0
CUQAM,Urban,Public,1Q1,Standard,2,Male,Does not qualify,59.0,70.0
CUQAM,Urban,Public,1Q1,Standard,2,Male,Does not qualify,55.0,65.0
CUQAM,Urban,Public,1Q1,Standard,2,Male,Does not qualify,56.0,67.0
CUQAM,Urban,Public,1Q1,Standard,2,Male,Does not qualify,58.0,67.0
CUQAM,Urban,Public,1Q1,Standard,2,Female,Does not qualify,58.0,65.0
CUQAM,Urban,Public,1Q1,Standard,2,Male,Qualifies for reduced/free lunch,58.0,65.0
CUQAM,Urban,Public,1Q1,Standard,2,Male,Does not qualify,60.0,74.0
CUQAM,Urban,Public,1Q1,Standard,2,Female,Does not qualify,60.0,69.0
CUQAM,Urban,Public,1Q1,Standard,2,Male,Does not qualify,56.0,61.0
CUQAM,Urban,Public,1Q1,Standard,2,Female,Does not qualify,56.0,69.0
CUQAM,Urban,Public,1Q1,Standard,2,Male,Does not qualify,56.0,74.0
CUQAM,Urban,Public,1Q1,Standard,2,Female,Does not qualify,52.0,68.0
CUQAM,Urban,Public,1Q1,Standard,2,Female,Qualifies for reduced/free lunch,52.0,68.0
CUQAM,Urban,Public,1Q1,Standard,2,Female,Does not qualify,56.0,63.0
CUQAM,Urban,Public,1Q1,Standard,2,Female,Does not qualify,58.0,70.0
CUQAM,Urban,Public,1Q1,Standard,2,Male,Does not qualify,61.0,71.0
CUQAM,Urban,Public,1Q1,Standard,2,Male,Does not qualify,60.0,62.0
CUQAM,Urban,Public,1Q1,Standard,2,Male,Qualifies for reduced/free lunch,57.0,62.0
CUQAM,Urban,Public,1Q1,Standard,2,Male,Does not qualify,50.0,58.0
CUQAM,Urban,Public,BFY,Standard,2,Female,Does not qualify,53.0,57.0
CUQAM,Urban,Public,BFY,Standard,2,Female,Does not qualify,55.0,63.0
CUQAM,Urban,Public,BFY,Standard,2,Female,Does not qualify,46.0,57.0
CUQAM,Urban,Public,BFY,Standard,2,Female,Does not qualify,50.0,59.0
CUQAM,Urban,Public,BFY,Standard,2,Male,Does not qualify,50.0,57.0
CUQAM,Urban,Public,BFY,Standard,2,Male,Does not qualify,56.0,64.0
CUQAM,Urban,Public,BFY,Standard,2,Male,Qualifies for reduced/free lunch,44.0,58.0
CUQAM,Urban,Public,BFY,Standard,2,Female,Does not qualify,53.0,64.0
CUQAM,Urban,Public,BFY,Standard,2,Male,Does not qualify,51.0,56.0
CUQAM,Urban,Public,BFY,Standard,2,Female,Does not qualify,50.0,61.0
CUQAM,Urban,Public,BFY,Standard,2,Male,Does not qualify,53.0,61.0
CUQAM,Urban,Public,BFY,Standard,2,Male,Does not qualify,53.0,64.0
CUQAM,Urban,Public,BFY,Standard,2,Male,Does not qualify,52.0,60.0
CUQAM,Urban,Public,BFY,Standard,2,Male,Does not qualify,49.0,61.0
CUQAM,Urban,Public,BFY,Standard,2,Female,Does not qualify,55.0,63.0
CUQAM,Urban,Public,BFY,Standard,2,Female,Does not qualify,56.0,66.0
CUQAM,Urban,Public,BFY,Standard,2,Male,Does not qualify,53.0,62.0
CUQAM,Urban,Public,BFY,Standard,2,Male,Does not qualify,50.0,59.0
CUQAM,Urban,Public,BFY,Standard,2,Male,Qualifies for reduced/free lunch,50.0,59.0
CUQAM,Urban,Public,BFY,Standard,2,Male,Does not qualify,52.0,62.0
CUQAM,Urban,Public,BFY,Standard,2,Female,Does not qualify,52.0,58.0
CUQAM,Urban,Public,BFY,Standard,2,Male,Qualifies for reduced/free lunch,47.0,62.0
CUQAM,Urban,Public,BFY,Standard,2,Female,Qualifies for reduced/free lunch,46.0,60.0
CUQAM,Urban,Public,BFY,Standard,2,Male,Does not qualify,53.0,59.0
CUQAM,Urban,Public,BFY,Standard,2,Male,Does not qualify,51.0,61.0
CUQAM,Urban,Public,BFY,Standard,2,Male,Does not qualify,52.0,65.0
CUQAM,Urban,Public,BFY,Standard,2,Female,Does not qualify,50.0,64.0
CUQAM,Urban,Public,OMI,Standard,2,Female,Does not qualify,52.0,67.0
CUQAM,Urban,Public,OMI,Standard,2,Male,Does not qualify,60.0,72.0
CUQAM,Urban,Public,OMI,Standard,2,Male,Does not qualify,55.0,69.0
CUQAM,Urban,Public,OMI,Standard,2,Male,Does not qualify,53.0,68.0
CUQAM,Urban,Public,OMI,Standard,2,Male,Does not qualify,57.0,67.0
CUQAM,Urban,Public,OMI,Standard,2,Male,Does not qualify,61.0,62.0
CUQAM,Urban,Public,OMI,Standard,2,Female,Does not qualify,59.0,64.0
CUQAM,Urban,Public,OMI,Standard,2,Female,Does not qualify,51.0,65.0
CUQAM,Urban,Public,OMI,Standard,2,Male,Qualifies for reduced/free lunch,49.0,65.0
CUQAM,Urban,Public,OMI,Standard,2,Female,Does not qualify,59.0,64.0
CUQAM,Urban,Public,OMI,Standard,2,Male,Qualifies for reduced/free lunch,52.0,63.0
CUQAM,Urban,Public,OMI,Standard,2,Female,Does not qualify,51.0,66.0
CUQAM,Urban,Public,OMI,Standard,2,Female,Does not qualify,57.0,65.0
CUQAM,Urban,Public,OMI,Standard,2,Male,Does not qualify,54.0,62.0
CUQAM,Urban,Public,OMI,Standard,2,Male,Does not qualify,52.0,65.0
CUQAM,Urban,Public,OMI,Standard,2,Male,Does not qualify,57.0,68.0
CUQAM,Urban,Public,OMI,Standard,2,Female,Does not qualify,54.0,65.0
CUQAM,Urban,Public,OMI,Standard,2,Male,Does not qualify,57.0,59.0
CUQAM,Urban,Public,OMI,Standard,2,Female,Does not qualify,60.0,68.0
CUQAM,Urban,Public,OMI,Standard,2,Female,Does not qualify,51.0,64.0
CUQAM,Urban,Public,OMI,Standard,2,Female,Does not qualify,61.0,67.0
CUQAM,Urban,Public,OMI,Standard,2,Male,Qualifies for reduced/free lunch,52.0,61.0
CUQAM,Urban,Public,OMI,Standard,2,Male,Does not qualify,52.0,63.0
CUQAM,Urban,Public,OMI,Standard,2,Female,Qualifies for reduced/free lunch,49.0,64.0
CUQAM,Urban,Public,OMI,Standard,2,Male,Does not qualify,57.0,63.0
CUQAM,Urban,Public,OMI,Standard,2,Female,Does not qualify,52.0,63.0
CUQAM,Urban,Public,OMI,Standard,2,Male,Does not qualify,54.0,63.0
CUQAM,Urban,Public,OMI,Standard,2,Male,Does not qualify,58.0,65.0
CUQAM,Urban,Public,X6Z,Experimental,1,Female,Does not qualify,51.0,66.0
CUQAM,Urban,Public,X6Z,Experimental,1,Female,Does not qualify,56.0,75.0
